Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
58                            0.25                          168                           420                           1                             0.0016644001007080078
58                            0.5                           357                           1407                          1                             0.006417512893676758
58                            0.75                          451                           17062                         1                             0.09046745300292969
59                            0.125                         135                           191                           1                             0.0008890628814697266
59                            0.25                          173                           424                           1                             0.0017235279083251953
59                            0.5                           273                           2412                          1                             0.009610176086425781
59                            0.75                          401                           32412                         1                             0.16761207580566406
60                            0.125                         135                           179                           1                             0.0010073184967041016
60                            0.25                          175                           394                           1                             0.001665353775024414
60                            0.5                           288                           2052                          1                             0.008814811706542969
60                            0.75                          453                           31997                         1                             0.1797490119934082
61                            0.125                         138                           179                           1                             0.0009214878082275391
61                            0.25                          225                           384                           1                             0.0016946792602539062
61                            0.5                           322                           2219                          1                             0.01002645492553711
61                            0.75                          445                           34622                         1                             0.2190570831298828
62                            0.125                         141                           189                           1                             0.0021963119506835938
62                            0.25                          189                           435                           1                             0.0038862228393554688
62                            0.5                           277                           2860                          1                             0.018515348434448242
62                            0.75                          417                           42063                         1                             0.28060221672058105
63                            0.125                         149                           213                           1                             0.0011658668518066406
63                            0.25                          211                           471                           1                             0.0020499229431152344
63                            0.5                           274                           2737                          1                             0.011749982833862305
63                            0.75                          455                           38381                         1                             0.2209162712097168
64                            0.125                         135                           193                           1                             0.0010747909545898438
64                            0.25                          164                           557                           1                             0.0021965503692626953
64                            0.5                           326                           2560                          1                             0.011757373809814453
64                            0.75                          477                           39609                         1                             0.23677968978881836
65                            0.125                         125                           226                           1                             0.0011284351348876953
65                            0.25                          159                           564                           1                             0.002164602279663086
65                            0.5                           283                           3502                          1                             0.01429295539855957
65                            0.75                          495                           29371                         1                             0.18460559844970703
66                            0.125                         147                           215                           1                             0.0011098384857177734
66                            0.25                          182                           521                           1                             0.002249479293823242
66                            0.5                           272                           3476                          1                             0.014707326889038086
66                            0.75                          476                           49753                         1                             0.3134589195251465
67                            0.125                         125                           241                           1                             0.0012655258178710938
67                            0.25                          158                           544                           1                             0.0022325515747070312
67                            0.5                           256                           3414                          1                             0.014550209045410156
67                            0.75                          455                           66479                         1                             0.39499592781066895
68                            0.125                         129                           254                           1                             0.0014460086822509766
68                            0.25                          178                           540                           1                             0.0024259090423583984
68                            0.5                           284                           3821                          1                             0.017169713973999023
68                            0.75                          472                           60942                         1                             0.37156105041503906
69                            0.125                         125                           258                           1                             0.001638650894165039
69                            0.25                          176                           547                           1                             0.0029077529907226562
69                            0.5                           288                           3480                          1                             0.017857074737548828
69                            0.75                          421                           75959                         1                             0.44541215896606445
70                            0.125                         124                           259                           1                             0.0015254020690917969
70                            0.25                          176                           652                           1                             0.002920389175415039
70                            0.5                           284                           3533                          1                             0.016190052032470703
70                            0.75                          497                           51149                         1                             0.36461877822875977
71                            0.125                         143                           267                           1                             0.0013811588287353516
71                            0.25                          185                           652                           1                             0.0027663707733154297
71                            0.5                           309                           3349                          1                             0.016448259353637695
71                            0.75                          532                           68648                         1                             0.4475741386413574
72                            0.125                         128                           293                           1                             0.0014777183532714844
72                            0.25                          175                           645                           1                             0.0028913021087646484
72                            0.5                           258                           5143                          1                             0.022007226943969727
72                            0.75                          444                           90711                         1                             0.5702524185180664
