Vertices,Edges_Prob,Max_Weight,Ops_Count,Tested_Solutions,Search_Time
41,0.5,205,413,1,0.0004360675811767578
41,0.75,356,1288,1,0.0009243488311767578
42,0.125,111,66,1,0.00010919570922851562
42,0.25,146,142,1,0.0002167224884033203
42,0.5,246,601,1,0.0005247592926025391
42,0.75,377,1924,1,0.0011050701141357422
43,0.125,111,75,1,0.00011515617370605469
43,0.25,154,181,1,0.00021910667419433594
43,0.5,214,479,1,0.0004570484161376953
43,0.75,403,1598,1,0.0010526180267333984
44,0.125,130,88,1,0.000133514404296875
44,0.25,168,193,1,0.0002429485321044922
44,0.5,219,620,1,0.0005478858947753906
44,0.75,352,1661,1,0.0012102127075195312
45,0.125,125,93,1,0.00013589859008789062
45,0.25,162,166,1,0.00023317337036132812
45,0.5,248,624,1,0.0006084442138671875
45,0.75,354,1855,1,0.001271963119506836
46,0.125,123,82,1,0.0001220703125
46,0.25,201,190,1,0.00021791458129882812
46,0.5,249,633,1,0.0005602836608886719
46,0.75,390,2217,1,0.001435995101928711
47,0.125,107,75,1,0.00013065338134765625
47,0.25,168,200,1,0.0002524852752685547
47,0.5,283,662,1,0.0006334781646728516
47,0.75,433,2081,1,0.0014340877532958984
48,0.125,113,90,1,0.0001316070556640625
48,0.25,144,173,1,0.00022411346435546875
48,0.5,240,718,1,0.0006568431854248047
48,0.75,356,2046,1,0.0014011859893798828
49,0.125,126,101,1,0.00013208389282226562
49,0.25,164,201,1,0.00034880638122558594
49,0.5,252,842,1,0.0007688999176025391
49,0.75,340,2363,1,0.0016398429870605469
50,0.125,152,112,1,0.0001671314239501953
50,0.25,152,194,1,0.0002760887145996094
50,0.5,221,599,1,0.0006527900695800781
50,0.75,395,2436,1,0.001573324203491211
51,0.125,135,103,1,0.00014543533325195312
51,0.25,173,202,1,0.00024175643920898438
51,0.5,261,638,1,0.0006496906280517578
51,0.75,388,2331,1,0.0016741752624511719
52,0.125,133,124,1,0.0001761913299560547
52,0.25,161,274,1,0.00031828880310058594
52,0.5,230,845,1,0.0008041858673095703
52,0.75,412,2869,1,0.0019176006317138672
53,0.125,130,111,1,0.00016736984252929688
53,0.25,170,224,1,0.00031280517578125
53,0.5,244,788,1,0.0008106231689453125
53,0.75,405,2875,1,0.0020532608032226562
54,0.125,122,116,1,0.00018548965454101562
54,0.25,162,204,1,0.00028896331787109375
54,0.5,226,677,1,0.0006644725799560547
54,0.75,375,2637,1,0.0017876625061035156
55,0.125,130,125,1,0.0001914501190185547
55,0.25,157,238,1,0.00030803680419921875
55,0.5,223,792,1,0.0008463859558105469
55,0.75,405,2913,1,0.002104043960571289
56,0.125,125,120,1,0.0001690387725830078
56,0.25,159,243,1,0.0002846717834472656
56,0.5,248,795,1,0.0007331371307373047
56,0.75,392,3128,1,0.001972675323486328
57,0.125,130,125,1,0.00019812583923339844
57,0.25,161,252,1,0.00030303001403808594
57,0.5,260,812,1,0.0008344650268554688
57,0.75,410,2893,1,0.0019614696502685547
58,0.125,130,127,1,0.00020432472229003906
58,0.25,168,244,1,0.0003173351287841797
58,0.5,328,1033,1,0.00090789794921875
58,0.75,415,2684,1,0.0018951892852783203
59,0.125,135,127,1,0.00020122528076171875
59,0.25,173,244,1,0.0003445148468017578
59,0.5,273,929,1,0.0009319782257080078
59,0.75,401,2603,1,0.0019989013671875
60,0.125,135,130,1,0.0001900196075439453
60,0.25,175,267,1,0.0003387928009033203
60,0.5,288,921,1,0.0008647441864013672
60,0.75,402,2821,1,0.0021746158599853516
61,0.125,138,139,1,0.00019478797912597656
61,0.25,225,343,1,0.0003819465637207031
61,0.5,297,1075,1,0.0009961128234863281
61,0.75,445,3454,1,0.0022933483123779297
62,0.125,141,157,1,0.00020647048950195312
